Facility Name,Activity Date,Service,Violation Description,Grade,Location
1/3 LB GIANT BURGER,9/26/2012,111,Food contact surfaces: clean and sanitized,G,"33592 ALVARADO NILES RD
UNION CITY, CA
(37.591183413446956, -122.03536715085221)"
1/4 LB GIANT BURGER,9/24/2012,111,Adequate handwashing facilities supplied & accessi,G,"5325 SAN PABLO AVE
OAKLAND, CA
(37.837636924013225, -122.28209083016321)"
1/4 LB GIANT BURGER 3,11/6/2012,111,Demonstration of knowledge food manager certifica,G,"2055 MACARTHUR BLVD
OAKLAND, CA
(37.800683781829264, -122.21751051523916)"
"1/4 LB GIANT BURGER, #9",8/22/2012,111,Proper hot and cold holding temperatures,G,"2150 TELEGRAPH AVE
OAKLAND, CA
(37.81068614253996, -122.26922805070504)"
101 FISH & CHIPS,10/15/2012,111,Proper hot and cold holding temperatures,G,"36700 CEDAR BLVD
NEWARK, CA
(37.54376250334661, -122.02843464454043)"
1400 BAR & GRILL,10/11/2012,111,Proper hot and cold holding temperatures,G,"1400 WEBSTER ST
ALAMEDA, CA
(37.7716176938423, -122.27680281663095)"
1ST TREAT YOGURT CORP,10/17/2012,111,"No rodents, insects, birds, or animals",G,"2127 FIRST ST
LIVERMORE, CA
(37.68130777566, -121.7696391514275)"
2101 CLUB,11/6/2012,111,Proper hot and cold holding temperatures,G,"2101 MACARTHUR BLVD
OAKLAND, CA
(37.80058485640603, -122.21710582032597)"
3 SEASONS THAI BISTRO,10/18/2012,111,Demonstration of knowledge food manager certifica,G,"1506 LEIMERT BLVD
OAKLAND, CA
(37.81151425298053, -122.21192982618169)"
3-D RESTAURANT,10/5/2012,111,Food contact surfaces: clean and sanitized,G,"39169 CEDAR BLVD
NEWARK, CA
(37.52371024146083, -122.00561249318481)"
360 BAKERY & CAFE,9/25/2012,131,Time as a public health control procedures & reco,G,"46529 MISSION BLVD
FREMONT, CA
(37.4919262122216, -121.92711153177552)"
360 GOURMET BURRITOS,7/10/2012,111,Personal cleanliness and hair restraints,G,"853 MARINA VILLAGE PKWY
ALAMEDA, CA
(37.782623019712936, -122.2734708045382)"
7 ELEVEN #33480,7/17/2012,111,Adequate handwashing facilities supplied & accessi,G,"891 AIRWAY BLVD
LIVERMORE, CA
(37.698613782689385, -121.81791489260921)"
7-ELEVEN,7/16/2012,111,Demonstration of knowledge food manager certifica,G,"200 N GREENVILLE RD
LIVERMORE, CA
(37.716696097512965, -121.69986075517409)"
7-ELEVEN #33005,11/27/2012,111,Adequate handwashing facilities supplied & accessi,G,"245 S VASCO RD
LIVERMORE, CA
(37.703892533140234, -121.72124523891695)"
7-ELEVEN FOOD STORE #14180,7/11/2012,111,Adequate handwashing facilities supplied & accessi,G,"477 HACIENDA AVE
SAN LORENZO, CA
(37.67456286044023, -122.12271298013064)"
7-ELEVEN FOOD STORE #14202,11/9/2012,111,Adequate handwashing facilities supplied & accessi,G,"1540 SOLANO AVE
ALBANY, CA
(37.8909847067913, -122.2858499962457)"
7-ELEVEN FOOD STORE #14203,11/7/2012,111,"Toxic substances properly identified, stored, used",G,"1880 4TH ST
LIVERMORE, CA
(37.67834359562944, -121.77170465140617)"
7-ELEVEN FOOD STORE #14204,10/31/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"333 E 14TH ST
SAN LEANDRO, CA
(37.73380120251022, -122.16267885111273)"
7-ELEVEN FOOD STORE #17321,8/15/2012,111,Hot and cold water available,G,"4307 VALLEY AVE
PLEASANTON, CA
(37.67678092902781, -121.87615038545744)"
7-ELEVEN FOOD STORE #18177,8/30/2012,111,Food contact surfaces: clean and sanitized,G,"130 HARDER RD
HAYWARD, CA
(37.64948976226333, -122.07662272612902)"
7-ELEVEN FOOD STORE #18348,9/12/2012,111,Garbage and refuse properly disposed facilities m,G,"24476 MISSION BLVD
HAYWARD, CA
(37.663807594253036, -122.07660101764081)"
7-ELEVEN FOOD STORE #18608,7/27/2012,111,Adequate handwashing facilities supplied & accessi,G,"4100 BROADWAY
OAKLAND, CA
(37.82875162236371, -122.25589357944972)"
7-ELEVEN FOOD STORE #19250,9/21/2012,111,Food storage food storage containers identified,G,"13792 E 14TH ST
SAN LEANDRO, CA
(37.71498443536991, -122.14226586941224)"
7-ELEVEN FOOD STORE #20273,8/6/2012,111,Adequate handwashing facilities supplied & accessi,G,"1126 DAVIS ST
SAN LEANDRO, CA
(37.72145351104797, -122.16936081379043)"
7-ELEVEN FOOD STORE #20364,9/21/2012,111,Adequate handwashing facilities supplied & accessi,G,"15105 HESPERIAN BLVD
SAN LEANDRO, CA
(37.70138064335396, -122.13000648178826)"
7-ELEVEN FOOD STORE #26872,7/25/2012,111,Hot and cold water available,G,"324 23RD AVE
OAKLAND, CA
(37.77309805607234, -122.23582052971075)"
7-ELEVEN FOOD STORE #32734,8/13/2012,111,Adequate handwashing facilities supplied & accessi,G,"2222 LAS POSITAS RD
LIVERMORE, CA
(37.69776536879618, -121.77266087344594)"
7-ELEVEN STORE #33163,7/17/2012,111,Adequate handwashing facilities supplied & accessi,G,"7100 DOUGHERTY RD
DUBLIN, CA
(37.71877353140064, -121.91027513036943)"
8TH STREET CAFE,11/21/2012,131,Food separated and protected,G,"337 8TH ST
OAKLAND, CA
(37.79907867521816, -122.27106977275247)"
99 CENTS ONLY STORE #217,9/21/2012,111,Equipment/Utensils - approved installed clean g,G,"20882 MISSION BLVD
HAYWARD, CA
(37.6842510056916, -122.0988034356174)"
99 RANCH MARKET #71,7/26/2012,111,Time as a public health control procedures & reco,G,"7333 REGIONAL ST
DUBLIN, CA
(37.70533047001781, -121.93453661156389)"
A & A CORNER,7/30/2012,111,Adequate handwashing facilities supplied & accessi,G,"2520 FOOTHILL BLVD
OAKLAND, CA
(37.784684842928016, -122.23015498297116)"
A & G MARKET,9/17/2012,111,Demonstration of knowledge food manager certifica,G,"1849 E 21ST ST
OAKLAND, CA
(37.79160962255361, -122.23654916259943)"
A & P SERVICE CENTER,11/19/2012,111,Hot and cold water available,G,"398 W MACARTHUR BLVD
OAKLAND, CA
(37.82525325966975, -122.26136145738786)"
A K MARKET & GROCERIES,11/28/2012,111,Food storage food storage containers identified,G,"17651 MEEKLAND AVE
HAYWARD, CA
(37.68249374087893, -122.11530254713546)"
A M LIQUORS,10/4/2012,111,Adequate handwashing facilities supplied & accessi,G,"1301 MACARTHUR BLVD
OAKLAND, CA
(37.80215866995735, -122.23146799313389)"
A TASTE OF DENMARK,10/2/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"3401 TELEGRAPH AVE
OAKLAND, CA
(37.82271717154714, -122.26620880312578)"
A THAI EXPRESS,9/20/2012,111,"Proper eating, tasting, drinking or tobacco use",G,"39945 BALENTINE DR
NEWARK, CA
(37.52122437687314, -121.99107646400574)"
